,y_test,y_pred,residual
5017,521,31387.08871765529,-30866.08871765529
1488,794,32174.293466323208,-31380.293466323208
5858,2112,32403.80650709548,-30291.80650709548
6151,5485,32567.445081146852,-27082.445081146852
1074,578,32637.335099859723,-32059.335099859723
4037,644,34826.931307453924,-34182.931307453924
5735,1224,35066.29281644912,-33842.29281644912
286,503,35549.60471304741,-35046.60471304741
418,1389,35875.76802141512,-34486.76802141512
1064,1748,36085.21517409923,-34337.21517409923
2841,2183,36122.13299813837,-33939.13299813837
2279,2007,36283.92337495868,-34276.92337495868
5585,940,36449.39285022305,-35509.39285022305
1564,1800,37034.46236716376,-35234.46236716376
4378,1164,37051.568496579865,-35887.568496579865
2088,490,37941.57338578634,-37451.57338578634
4965,944,38683.22400030576,-37739.22400030576
1083,1950,38987.5237215465,-37037.5237215465
4840,1090,39194.49465855943,-38104.49465855943
695,665,39879.159415835515,-39214.159415835515
1736,1367,39896.258732607625,-38529.258732607625
382,1154,40206.969577555225,-39052.969577555225
2222,1018,40342.08583690715,-39324.08583690715
4318,1938,40654.640194895,-38716.640194895
558,656,40953.35513054425,-40297.35513054425
4224,2112,41019.162020585965,-38907.162020585965
4204,680,42260.47759115881,-41580.47759115881
1097,280,42481.05873816225,-42201.05873816225
234,617,42604.38392627229,-41987.38392627229
1407,883,42674.1503529519,-41791.1503529519
4770,878,43746.062013554896,-42868.062013554896
2590,884,44037.93210250884,-43153.93210250884
1350,385,44150.194919851536,-43765.194919851536
308,1650,44680.439652534515,-43030.439652534515
3017,1668,45213.32718784553,-43545.32718784553
5640,594,45334.95777897424,-44740.95777897424
1397,5818,45347.70656044663,-39529.70656044663
5054,1741,45571.493026931355,-43830.493026931355
1359,602,46329.10826442312,-45727.10826442312
2403,2000,47114.95629746861,-45114.95629746861
2674,1477,47198.873196997,-45721.873196997
1281,1022,47378.67097841468,-46356.67097841468
342,1029,47384.238373281485,-46355.238373281485
54,1311,47428.76600904813,-46117.76600904813
1291,1613,47796.49503069219,-46183.49503069219
3309,584,47799.59019079022,-47215.59019079022
4667,906,47802.447076637596,-46896.447076637596
1421,2407,47809.29857041759,-45402.29857041759
5912,302,47853.85425817229,-47551.85425817229
699,1598,47874.14544950701,-46276.14544950701
3114,1141,48149.13093178334,-47008.13093178334
5406,776,48155.26152624588,-47379.26152624588
192,259,48431.438458816636,-48172.438458816636
405,1000,48461.14066064905,-47461.14066064905
3941,475,48657.42044163116,-48182.42044163116
4875,560,48712.58254594325,-48152.58254594325
597,431,48715.31590006725,-48284.31590006725
3744,353,49035.008800838434,-48682.008800838434
2165,2023,49122.07793954029,-47099.07793954029
863,1200,49133.247236174575,-47933.247236174575
2429,1967,49152.78709269118,-47185.78709269118
1086,863,49231.894063643216,-48368.894063643216
667,669,49235.57100578397,-48566.57100578397
3931,1351,49515.126337096655,-48164.126337096655
1708,1100,49678.51961643382,-48578.51961643382
1507,2037,49941.986010139095,-47904.986010139095
3014,1174,50034.03955501254,-48860.03955501254
52,350,50076.81115417946,-49726.81115417946
2334,1570,50135.39156808988,-48565.39156808988
4023,767,50536.03965226067,-49769.03965226067
3469,650,51006.463836953044,-50356.463836953044
5732,907,51202.92068238997,-50295.92068238997
807,751,51359.02707542953,-50608.02707542953
5583,550,51638.95409251983,-51088.95409251983
2539,1044,51701.67275250354,-50657.67275250354
1907,1031,51758.99611065663,-50727.99611065663
4386,520,51848.3974042172,-51328.3974042172
1548,373,52380.55633061102,-52007.55633061102
1266,1924,52456.343376322555,-50532.343376322555
3567,475,52482.41445849277,-52007.41445849277
5689,828,52774.65677808954,-51946.65677808954
5697,1149,52969.39510951394,-51820.39510951394
1040,1032,52995.987269775986,-51963.987269775986
3984,460,53014.84159529847,-52554.84159529847
2997,894,53071.75123188285,-52177.75123188285
783,1173,53103.9474331628,-51930.9474331628
1570,500,53154.036081056445,-52654.036081056445
5386,1037,53293.17104627763,-52256.17104627763
2588,1443,53307.751184353685,-51864.751184353685
3355,583,53424.79968274696,-52841.79968274696
1675,796,53424.915881017434,-52628.915881017434
1886,836,53438.7523327895,-52602.7523327895
