,y_test,y_pred,residual
5771,820,124059.89731367436,-123239.89731367436
2975,350,124076.62667386513,-123726.62667386513
1656,1650,124160.1587208155,-122510.1587208155
2043,750,124188.13286113512,-123438.13286113512
2254,200,124219.59937388354,-124019.59937388354
42,320,124222.03697548786,-123902.03697548786
4327,325,124229.83697990539,-123904.83697990539
2706,350,124240.95160303886,-123890.95160303886
2776,3011,124243.93717887081,-121232.93717887081
4688,349,124256.49152876461,-123907.49152876461
4922,2464,124259.47667588387,-121795.47667588387
5178,550,124271.37842866141,-123721.37842866141
2893,339,124276.18549768487,-123937.18549768487
4478,243,124298.65090915808,-124055.65090915808
1056,1781,124305.44716158244,-122524.44716158244
1392,1841,124334.97090801246,-122493.97090801246
4484,400,124342.29618291074,-123942.29618291074
4517,1273,124377.5396695598,-123104.5396695598
3583,899,124384.78422441958,-123485.78422441958
2394,794,124461.95599004351,-123667.95599004351
772,384,124463.62394562684,-124079.62394562684
4125,290,124484.7273940358,-124194.7273940358
2138,950,124486.18402863495,-123536.18402863495
1844,1508,124491.70078295177,-122983.70078295177
99,1011,124498.16614230539,-123487.16614230539
3985,1355,124507.10168050652,-123152.10168050652
3707,460,124530.5032930992,-124070.5032930992
2856,1924,124549.1102756254,-122625.1102756254
2059,807,124560.9237708874,-123753.9237708874
4384,419,124610.24132916922,-124191.24132916922
4007,630,124625.03116980485,-123995.03116980485
4891,300,124633.31228932986,-124333.31228932986
1413,1100,124657.89123866452,-123557.89123866452
3953,594,124657.9658556059,-124063.9658556059
5316,727,124673.32347967375,-123946.32347967375
1939,729,124680.35030790653,-123951.35030790653
1790,1697,124753.9273974452,-123056.9273974452
4866,2161,124763.23747073907,-122602.23747073907
4005,948,124768.52114244904,-123820.52114244904
6020,800,124772.35082802818,-123972.35082802818
5860,849,124794.36319785766,-123945.36319785766
3401,936,124828.17886243423,-123892.17886243423
2998,765,124839.71292042646,-124074.71292042646
227,900,124854.14967322872,-123954.14967322872
3050,1507,124867.52176030858,-123360.52176030858
5811,2884,124869.44153511901,-121985.44153511901
5463,399,124887.24821400519,-124488.24821400519
1595,650,124901.5451573284,-124251.5451573284
1770,491,124907.49301996207,-124416.49301996207
4041,849,124944.57003031072,-124095.57003031072
1603,804,124950.08079839745,-124146.08079839745
1129,4500,124995.11245171764,-120495.11245171764
432,1086,125046.86609747683,-123960.86609747683
136,199,125077.45012428229,-124878.45012428229
5784,480,125088.51709564643,-124608.51709564643
1307,2416,125101.69348505462,-122685.69348505462
2820,400,125133.7642621287,-124733.7642621287
749,300,125135.57133119836,-124835.57133119836
1349,800,125140.8426509918,-124340.8426509918
1890,814,125143.01668205454,-124329.01668205454
758,770,125161.67575304517,-124391.67575304517
5799,706,125163.65910598374,-124457.65910598374
2342,1951,125168.26557418682,-123217.26557418682
4741,4883,125201.69121903354,-120318.69121903354
3389,500,125210.65664130558,-124710.65664130558
897,926,125230.66295427647,-124304.66295427647
2982,1517,125235.02832244213,-123718.02832244213
6045,425,125250.04614095246,-124825.04614095246
3347,762,125265.8590681442,-124503.8590681442
2855,1000,125314.19352915008,-124314.19352915008
778,870,125329.56702903472,-124459.56702903472
4470,250,125336.62007577642,-125086.62007577642
2894,2000,125358.80518657395,-123358.80518657395
2876,421,125386.55905299593,-124965.55905299593
2495,1000,125427.81951948602,-124427.81951948602
4889,1765,125443.07067675695,-123678.07067675695
6150,450,125453.06705162402,-125003.06705162402
4651,1712,125457.36681141712,-123745.36681141712
5525,1000,125504.35707603954,-124504.35707603954
1737,1104,125560.76077060636,-124456.76077060636
4176,213,125582.99264556057,-125369.99264556057
5402,739,125629.41685970964,-124890.41685970964
3124,300,125652.24039540254,-125352.24039540254
2457,577,125656.47116720639,-125079.47116720639
2275,1306,125661.40776674813,-124355.40776674813
58,279,125661.69566035981,-125382.69566035981
1719,998,125668.84552382825,-124670.84552382825
5918,380,125670.1646144021,-125290.1646144021
1441,350,125674.38362002248,-125324.38362002248
3733,1900,125675.93651371438,-123775.93651371438
13,380,125679.15972400874,-125299.15972400874
4735,1399,125688.98953841871,-124289.98953841871
5501,899,125709.77617799031,-124810.77617799031
4209,1500,125720.02331014385,-124220.02331014385
4596,611,125751.94659160376,-125140.94659160376
2180,1377,125762.92942109294,-124385.92942109294
2110,1400,125764.2154881308,-124364.2154881308
5228,1263,125771.23030381379,-124508.23030381379
4466,280,125774.99079969028,-125494.99079969028
3209,424,125780.9235838737,-125356.9235838737
5551,440,125788.37638712658,-125348.37638712658
5209,480,125799.68037916985,-125319.68037916985
4513,1200,125820.72576619881,-124620.72576619881
2090,1578,125847.53963876612,-124269.53963876612
4682,956,125854.44502121715,-124898.44502121715
4817,1382,125859.98305900126,-124477.98305900126
3825,887,125861.190205244,-124974.190205244
3501,1001,125880.11225066047,-124879.11225066047
1300,1500,125915.37519856919,-124415.37519856919
264,356,125921.61448795015,-125565.61448795015
5222,1555,125932.57183343715,-124377.57183343715
3690,1143,125940.61341476557,-124797.61341476557
4442,2925,125957.10322349539,-123032.10322349539
1463,550,125976.17656699983,-125426.17656699983
3811,885,125979.35093313521,-125094.35093313521
1624,1000,125982.760797119,-124982.760797119
1883,1257,126031.16165301885,-124774.16165301885
4016,1200,126037.88566938054,-124837.88566938054
4360,593,126041.63865745244,-125448.63865745244
3219,1436,126051.7320150748,-124615.7320150748
6085,1057,126063.12082626579,-125006.12082626579
5620,880,126076.73153656401,-125196.73153656401
648,970,126081.23304644217,-125111.23304644217
194,350,126090.8387868519,-125740.8387868519
5274,1498,126111.85298881916,-124613.85298881916
2335,350,126113.97465071191,-125763.97465071191
5550,1100,126120.5994397755,-125020.5994397755
4604,1000,126142.57430682024,-125142.57430682024
2061,525,126149.48175474958,-125624.48175474958
5395,1188,126157.18996515438,-124969.18996515438
6175,700,126173.01750770312,-125473.01750770312
2330,345,126195.8046227686,-125850.8046227686
4028,499,126204.8323943661,-125705.8323943661
1302,600,126205.66257209048,-125605.66257209048
4329,560,126210.76611694194,-125650.76611694194
1905,390,126215.24471142453,-125825.24471142453
799,765,126222.27940489119,-125457.27940489119
2009,1391,126240.75901829045,-124849.75901829045
6177,339,126246.69092602935,-125907.69092602935
4887,370,126253.87442352861,-125883.87442352861
3553,1366,126296.95413296991,-124930.95413296991
1,1989,126313.87559644543,-124324.87559644543
2552,310,126320.8600403381,-126010.8600403381
2587,350,126341.705401013,-125991.705401013
5444,480,126353.76354535115,-125873.76354535115
3513,1500,126358.67191161275,-124858.67191161275
5278,219,126426.2453000083,-126207.2453000083
2939,350,126435.58223760487,-126085.58223760487
1247,300,126436.69190316007,-126136.69190316007
1194,745,126439.24059016732,-125694.24059016732
4527,700,126458.91842318693,-125758.91842318693
2359,375,126470.13892484902,-126095.13892484902
464,1400,126481.15601443604,-125081.15601443604
2325,594,126491.88812482025,-125897.88812482025
4808,1500,126499.64673482833,-124999.64673482833
6168,1358,126506.7197787999,-125148.7197787999
6245,479,126522.34004707914,-126043.34004707914
2709,500,126533.077183565,-126033.077183565
4127,580,126533.6396152955,-125953.6396152955
4281,504,126535.79145987108,-126031.79145987108
4262,4132,126548.38571475474,-122416.38571475474
5987,250,126551.3447858773,-126301.3447858773
1234,899,126556.10596311613,-125657.10596311613
3615,223,126558.01431478065,-126335.01431478065
4180,1498,126560.14951536893,-125062.14951536893
5960,210,126560.66282231105,-126350.66282231105
3131,1200,126561.89854625109,-125361.89854625109
2450,1457,126567.19609828896,-125110.19609828896
5541,260,126583.22253161286,-126323.22253161286
3408,4000,126588.24326628982,-122588.24326628982
5342,3800,126588.34428056,-122788.34428056
1387,750,126589.73730413815,-125839.73730413815
1979,2546,126607.57107959541,-124061.57107959541
3060,295,126608.17052485004,-126313.17052485004
1023,300,126615.98313461781,-126315.98313461781
64,1188,126624.96007499388,-125436.96007499388
3403,926,126630.32176789036,-125704.32176789036
1650,6430,126635.33463626538,-120205.33463626538
494,2900,126638.98369744339,-123738.98369744339
1384,1500,126640.33472462243,-125140.33472462243
2412,2546,126642.71702642276,-124096.71702642276
4174,400,126652.31324905597,-126252.31324905597
3681,470,126653.8274355487,-126183.8274355487
198,332,126658.1023128311,-126326.1023128311
4605,680,126665.52259052996,-125985.52259052996
485,2317,126692.09243466513,-124375.09243466513
2212,270,126702.67681637475,-126432.67681637475
2898,550,126711.39334700021,-126161.39334700021
2911,1697,126731.89744749335,-125034.89744749335
4864,704,126758.69306282718,-126054.69306282718
1754,649,126782.22864144371,-126133.22864144371
7,932,126801.6407234075,-125869.6407234075
1371,289,126809.47937171804,-126520.47937171804
2298,1099,126825.55342196135,-125726.55342196135
5101,2957,126831.57290746563,-123874.57290746563
3467,500,126833.98415214597,-126333.98415214597
2641,1000,126848.444672958,-125848.444672958
5627,2893,126868.19574379179,-123975.19574379179
1680,860,126870.9536770146,-126010.9536770146
2205,199,126878.06023600823,-126679.06023600823
2625,764,126901.23734462801,-126137.23734462801
3815,957,126934.26289002369,-125977.26289002369
4776,300,126934.96180080694,-126634.96180080694
1951,2997,126967.48152432941,-123970.48152432941
1565,970,126969.15072127472,-125999.15072127472
160,470,126978.38509575998,-126508.38509575998
576,349,126982.01094925801,-126633.01094925801
1551,361,127012.05563255881,-126651.05563255881
3751,750,127012.29977244462,-126262.29977244462
3247,700,127012.78257632379,-126312.78257632379
5714,2000,127013.08580284,-125013.08580284
4133,1867,127014.60456807351,-125147.60456807351
3211,851,127017.79800119188,-126166.79800119188
832,2289,127018.88410357249,-124729.88410357249
2810,560,127034.63225658836,-126474.63225658836
2369,950,127037.93724245374,-126087.93724245374
5282,495,127042.55383082297,-126547.55383082297
4873,660,127051.08431057676,-126391.08431057676
5757,5250,127063.86630987427,-121813.86630987427
2682,1868,127069.78500342021,-125201.78500342021
4842,550,127076.70102794768,-126526.70102794768
4078,2300,127076.77242939263,-124776.77242939263
3251,4500,127088.22225334599,-122588.22225334599
4107,2400,127090.91034759142,-124690.91034759142
5816,561,127093.02495276793,-126532.02495276793
4178,1100,127107.35331490662,-126007.35331490662
4726,550,127110.82370583987,-126560.82370583987
1504,679,127113.51128967287,-126434.51128967287
1451,300,127114.82959779102,-126814.82959779102
250,1100,127120.57319645374,-126020.57319645374
5957,585,127123.16882266058,-126538.16882266058
1661,1500,127125.77173391751,-125625.77173391751
354,444,127137.9750159764,-126693.9750159764
4538,1109,127155.4255513783,-126046.4255513783
285,359,127162.59377701778,-126803.59377701778
2608,3000,127186.1401533377,-124186.1401533377
6163,300,127192.47554918437,-126892.47554918437
5019,279,127220.20721416971,-126941.20721416971
788,1003,127253.63269840532,-126250.63269840532
316,1940,127282.24564940743,-125342.24564940743
5188,700,127283.18772341848,-126583.18772341848
228,2904,127288.10863633912,-124384.10863633912
5905,1717,127290.4383475576,-125573.4383475576
2011,1200,127297.51534000588,-126097.51534000588
6135,499,127346.69750849348,-126847.69750849348
5884,3829,127354.48031269784,-123525.48031269784
853,224,127359.66157701571,-127135.66157701571
5727,2336,127365.72297579964,-125029.72297579964
4145,1191,127370.51763392863,-126179.51763392863
2632,1198,127381.04224228357,-126183.04224228357
4034,339,127408.31314745374,-127069.31314745374
5362,844,127430.33857654521,-126586.33857654521
1874,400,127444.07249002942,-127044.07249002942
1277,251,127465.3843660115,-127214.3843660115
581,3500,127471.75115686975,-123971.75115686975
3679,1540,127524.47339797215,-125984.47339797215
167,695,127529.27770541116,-126834.27770541116
3197,971,127539.97359836477,-126568.97359836477
3096,1145,127556.30208492767,-126411.30208492767
1005,1250,127558.64249111351,-126308.64249111351
3916,3571,127610.01911029464,-124039.01911029464
5129,2386,127625.77463048161,-125239.77463048161
3536,550,127627.65120065707,-127077.65120065707
3320,507,127637.23027834833,-127130.23027834833
5176,725,127659.26312304451,-126934.26312304451
4811,500,127676.35493917511,-127176.35493917511
1506,2947,127682.51793272221,-124735.51793272221
2849,800,127689.10797802532,-126889.10797802532
5859,1600,127709.14499434117,-126109.14499434117
4886,1397,127725.61870206833,-126328.61870206833
4533,969,127754.09847704596,-126785.09847704596
5311,1588,127764.23039634585,-126176.23039634585
2544,3802,127786.61817249449,-123984.61817249449
2753,370,127795.64787279903,-127425.64787279903
1157,2900,127823.7340520062,-124923.7340520062
943,611,127839.09355748456,-127228.09355748456
4011,350,127857.46003365473,-127507.46003365473
5664,605,127889.48477703713,-127284.48477703713
5992,505,127889.83110459449,-127384.83110459449
5272,858,127926.04011922311,-127068.04011922311
3745,390,127936.55524587032,-127546.55524587032
2168,900,127953.65737604482,-127053.65737604482
547,1463,127955.08514283775,-126492.08514283775
669,1420,128023.42182588247,-126603.42182588247
2339,510,128036.08591059121,-127526.08591059121
2066,3100,128058.45452167963,-124958.45452167963
1542,2633,128065.6094779336,-125432.6094779336
5333,916,128088.71418845533,-127172.71418845533
5696,519,128097.41592608464,-127578.41592608464
4091,1512,128114.74713274807,-126602.74713274807
4827,999,128119.65346156279,-127120.65346156279
3187,1300,128121.51843860908,-126821.51843860908
5797,2857,128139.96903621955,-125282.96903621955
3115,400,128189.47846129054,-127789.47846129054
1021,1300,128244.60099172922,-126944.60099172922
3312,1358,128247.4426573965,-126889.4426573965
2845,1019,128253.66215008369,-127234.66215008369
469,1000,128256.53614741407,-127256.53614741407
6197,2449,128262.84870470985,-125813.84870470985
4239,1350,128269.84298350026,-126919.84298350026
4116,1490,128279.17766511772,-126789.17766511772
1252,436,128290.6439344791,-127854.6439344791
5319,714,128324.3517321385,-127610.3517321385
5809,995,128350.50537203824,-127355.50537203824
442,810,128359.20067363101,-127549.20067363101
3350,490,128375.26787002597,-127885.26787002597
1555,450,128382.11457529479,-127932.11457529479
3881,264,128432.73826571023,-128168.73826571023
4015,450,128439.23994469094,-127989.23994469094
5716,700,128441.52158178548,-127741.52158178548
2304,555,128468.6563448369,-127913.6563448369
3307,905,128470.85397738423,-127565.85397738423
604,469,128475.05026446038,-128006.05026446038
4407,680,128481.05152130061,-127801.05152130061
1873,827,128490.83150231342,-127663.83150231342
5523,729,128501.4232522175,-127772.4232522175
5385,1870,128519.46216279987,-126649.46216279987
5479,999,128631.33508788953,-127632.33508788953
4629,2157,128634.762435402,-126477.762435402
1743,1543,128678.12964957417,-127135.12964957417
1682,618,128691.78511715759,-128073.78511715759
2482,387,128723.79531649256,-128336.79531649256
915,900,128736.38710828462,-127836.38710828462
2965,450,128751.03948976455,-128301.03948976455
323,2254,128757.70943995821,-126503.70943995821
2069,1099,128791.85714808892,-127692.85714808892
1997,800,128802.48618785538,-128002.48618785538
3445,920,128831.03186416128,-127911.03186416128
4952,341,128850.36702825483,-128509.36702825483
4074,365,128903.99510870774,-128538.99510870774
673,999,128915.2415771316,-127916.2415771316
5995,2100,128935.09488703655,-126835.09488703655
4865,1051,128951.501966673,-127900.501966673
5915,1950,128951.7846337143,-127001.7846337143
499,560,128993.5971188561,-128433.5971188561
5348,281,128999.58813578518,-128718.58813578518
1876,861,129033.40330621928,-128172.40330621928
5486,1882,129051.49212633708,-127169.49212633708
5755,645,129066.96761803809,-128421.96761803809
3790,1146,129085.68626446564,-127939.68626446564
5667,2730,129155.40154559135,-126425.40154559135
5133,950,129190.83898092463,-128240.83898092463
5496,1697,129192.37070866158,-127495.37070866158
4155,1500,129205.16272455487,-127705.16272455487
4742,2207,129227.70851954853,-127020.70851954853
1653,1189,129247.17002742997,-128058.17002742997
381,1200,129294.92714200936,-128094.92714200936
1197,530,129400.88939961662,-128870.88939961662
3792,1400,129402.1261743297,-128002.1261743297
4894,1000,129402.7942730714,-128402.7942730714
1099,1703,129420.98478811391,-127717.98478811391
1323,1068,129425.64685142395,-128357.64685142395
5169,800,129426.0199118807,-128626.0199118807
5090,1706,129432.32958940064,-127726.32958940064
5740,959,129438.37889775542,-128479.37889775542
5656,900,129467.65917725963,-128567.65917725963
6142,955,129481.3183631735,-128526.3183631735
3725,1007,129505.49049850718,-128498.49049850718
5703,712,129508.99030432278,-128796.99030432278
96,2004,129514.71010512272,-127510.71010512272
4524,934,129526.19200053618,-128592.19200053618
4149,950,129532.87049571602,-128582.87049571602
5042,1500,129628.8531213075,-128128.8531213075
1659,350,129629.79203854823,-129279.79203854823
6047,849,129648.84885885395,-128799.84885885395
2643,2857,129683.77097984435,-126826.77097984435
5221,2251,129684.06295062327,-127433.06295062327
2941,557,129725.47444558801,-129168.47444558801
3376,1100,129725.54340123582,-128625.54340123582
3928,6430,129734.42910858848,-123304.42910858848
3804,674,129761.88383905779,-129087.88383905779
942,628,129765.54503881084,-129137.54503881084
3624,1300,129778.96603374607,-128478.96603374607
1356,185,129781.18965864317,-129596.18965864317
3589,877,129798.8248379388,-128921.8248379388
5095,1341,129799.54450653605,-128458.54450653605
511,1579,129800.29974488201,-128221.29974488201
5974,411,129814.07387013466,-129403.07387013466
1537,926,129826.74280617491,-128900.74280617491
529,943,129836.44799286668,-128893.44799286668
1596,550,129845.96441649608,-129295.96441649608
193,324,129874.41102628583,-129550.41102628583
4286,495,129895.29951047373,-129400.29951047373
2896,1123,129901.86699045426,-128778.86699045426
109,6430,129914.45590978058,-123484.45590978058
5944,513,129941.9366433833,-129428.9366433833
4912,5365,129942.95040625495,-124577.95040625495
3232,551,129951.74681140934,-129400.74681140934
5180,4541,129957.6902405049,-125416.6902405049
59,1737,129982.63932366743,-128245.63932366743
2749,467,129986.74318871215,-129519.74318871215
3101,1200,129991.72872695225,-128791.72872695225
4202,2365,130001.28079891406,-127636.28079891406
4395,470,130009.88563586834,-129539.88563586834
1706,490,130036.96050975291,-129546.96050975291
2039,475,130038.72641127274,-129563.72641127274
4270,763,130049.40138709724,-129286.40138709724
4902,1353,130058.6855552886,-128705.6855552886
1707,1254,130065.248398718,-128811.248398718
2253,1330,130077.50215861312,-128747.50215861312
3947,2123,130081.83780376731,-127958.83780376731
1259,850,130112.22079266106,-129262.22079266106
989,1243,130139.98077442264,-128896.98077442264
5698,270,130161.12807866518,-129891.12807866518
6094,2431,130169.25121148465,-127738.25121148465
1987,700,130178.05398930956,-129478.05398930956
3270,700,130182.635201253,-129482.635201253
5426,1200,130207.19206449206,-129007.19206449206
2866,189,130209.00618800348,-130020.00618800348
3291,1039,130210.60250707937,-129171.60250707937
2687,550,130218.18453139157,-129668.18453139157
1925,1055,130221.94990600724,-129166.94990600724
353,1239,130241.88048099696,-129002.88048099696
2834,700,130250.99518397696,-129550.99518397696
2593,1600,130259.05136316307,-128659.05136316307
297,298,130271.43759173193,-129973.43759173193
4822,820,130306.64922436993,-129486.64922436993
3993,1442,130328.16764826543,-128886.16764826543
5521,319,130340.46085559344,-130021.46085559344
4419,880,130374.90197927857,-129494.90197927857
5262,550,130380.20475414181,-129830.20475414181
5780,1073,130424.78761680472,-129351.78761680472
514,875,130441.03496293635,-129566.03496293635
3877,1210,130466.75413823973,-129256.75413823973
235,1334,130470.8107317663,-129136.8107317663
2075,753,130567.97318724052,-129814.97318724052
4179,664,130592.02884506686,-129928.02884506686
4637,1012,130650.53797961297,-129638.53797961297
3465,321,130655.90352264357,-130334.90352264357
271,550,130679.79643550295,-130129.79643550295
1502,932,130685.73804497591,-129753.73804497591
335,1273,130695.35280872598,-129422.35280872598
3024,1780,130700.17706255749,-128920.17706255749
6224,2300,130724.99490969747,-128424.99490969747
5212,961,130745.78959104102,-129784.78959104102
371,1600,130748.10513668465,-129148.10513668465
5991,1553,130833.73237035559,-129280.73237035559
2504,572,130862.15369799387,-130290.15369799387
1926,485,130864.87565230655,-130379.87565230655
5997,190,130890.7513288792,-130700.7513288792
1746,460,130896.11509330891,-130436.11509330891
551,1594,130900.12683242567,-129306.12683242567
1827,925,130923.02472767429,-129998.02472767429
5225,413,130932.58078727638,-130519.58078727638
3334,950,130950.30891606648,-130000.30891606648
4001,700,130958.61626020898,-130258.61626020898
3789,1004,130962.70367446309,-129958.70367446309
6065,5750,130962.77158126043,-125212.77158126043
1071,300,130980.92724662508,-130680.92724662508
4043,600,131017.99368194418,-130417.99368194418
1928,2837,131065.00890781214,-128228.00890781214
631,350,131098.43656712314,-130748.43656712314
2234,2799,131098.73191613905,-128299.73191613905
6216,535,131106.22423959296,-130571.22423959296
1244,980,131111.9324854053,-130131.9324854053
1430,3722,131131.0620076144,-127409.06200761441
5424,765,131131.9242662308,-130366.92426623081
2520,1900,131137.99895326016,-129237.99895326016
3970,350,131138.8844245095,-130788.88442450951
3047,1200,131147.96070231785,-129947.96070231785
5885,686,131156.53580070936,-130470.53580070936
6111,375,131162.9444524255,-130787.9444524255
6101,350,131169.5527119045,-130819.55271190449
2363,1400,131177.19981808605,-129777.19981808605
2125,2003,131182.36923930424,-129179.36923930424
3699,681,131190.61973127755,-130509.61973127755
447,599,131203.00432429125,-130604.00432429125
6230,2315,131220.26313690198,-128905.26313690198
1674,500,131243.33093540152,-130743.33093540152
2005,3928,131244.14385893068,-127316.14385893068
4824,925,131249.69647883036,-130324.69647883036
3144,200,131279.1891094368,-131079.1891094368
3045,680,131310.04476645475,-130630.04476645475
2413,843,131328.26336801128,-130485.26336801128
3831,6430,131356.49804724957,-124926.49804724957
3162,2124,131374.872713242,-129250.87271324199
1739,1199,131379.0275299861,-130180.02752998611
6090,1070,131395.22785264163,-130325.22785264163
506,1409,131398.85724237302,-129989.85724237302
3515,390,131404.07020165495,-131014.07020165495
892,850,131437.75709970243,-130587.75709970243
3470,735,131442.15179986483,-130707.15179986483
1394,550,131447.43232147393,-130897.43232147393
2274,1848,131451.77924216443,-129603.77924216443
4321,950,131495.3950176567,-130545.3950176567
2918,1188,131508.57359627687,-130320.57359627687
3816,299,131524.9625602261,-131225.9625602261
4328,4850,131530.36581993854,-126680.36581993854
2462,1710,131537.3568329432,-129827.35683294319
5219,855,131573.29152909364,-130718.29152909364
385,432,131606.56773375339,-131174.56773375339
2983,349,131657.77702212526,-131308.77702212526
5971,2793,131660.4857474544,-128867.4857474544
5049,200,131669.637758042,-131469.637758042
5924,600,131724.20628938993,-131124.20628938993
3874,1050,131742.68973526728,-130692.68973526728
2516,1450,131752.27982409246,-130302.27982409246
2042,1982,131766.03051286846,-129784.03051286846
2361,1071,131779.36754418074,-130708.36754418074
1552,416,131801.2069908129,-131385.2069908129
5582,290,131809.90358394102,-131519.90358394102
3864,613,131827.44603157375,-131214.44603157375
1729,1013,131833.99613324855,-130820.99613324855
328,550,131859.87304841986,-131309.87304841986
4753,590,131867.37803948842,-131277.37803948842
1762,418,131872.99802531544,-131454.99802531544
2163,1303,131878.06249883902,-130575.06249883902
1791,3623,131889.0531580614,-128266.0531580614
1992,2071,131946.81488105265,-129875.81488105265
3657,990,131958.12807831223,-130968.12807831223
1543,700,131967.125080845,-131267.125080845
4314,1420,131972.79975710946,-130552.79975710946
5840,250,131988.64905149303,-131738.64905149303
4311,850,131990.66443404852,-131140.66443404852
5919,799,132007.07527721341,-131208.07527721341
219,1063,132033.0618939556,-130970.0618939556
275,350,132036.6591621531,-131686.6591621531
2498,1092,132039.819725231,-130947.819725231
5166,490,132053.58631628373,-131563.58631628373
1489,980,132056.22880728816,-131076.22880728816
6027,400,132081.99539635086,-131681.99539635086
63,500,132097.89709502136,-131597.89709502136
2946,800,132132.1218055988,-131332.1218055988
1120,714,132147.94947772293,-131433.94947772293
1491,560,132197.4094899581,-131637.4094899581
4920,1050,132215.43522762388,-131165.43522762388
4237,3329,132260.62533279252,-128931.62533279252
4704,728,132274.6677968622,-131546.6677968622
4098,570,132294.24863982372,-131724.24863982372
5123,259,132304.662925483,-132045.662925483
2848,2863,132307.44218656945,-129444.44218656945
4536,1185,132391.72874963054,-131206.72874963054
1544,2029,132392.29418426965,-130363.29418426965
652,854,132404.0130654436,-131550.0130654436
3786,1587,132408.07247609002,-130821.07247609002
5490,1300,132419.02717356145,-131119.02717356145
5675,537,132430.42741745248,-131893.42741745248
1663,1033,132450.04509798897,-131417.04509798897
2947,550,132456.22618275895,-131906.22618275895
1503,1103,132465.97840058093,-131362.97840058093
6223,550,132491.00740394194,-131941.00740394194
431,700,132512.8536038019,-131812.8536038019
2945,1059,132519.9132614235,-131460.9132614235
3411,337,132523.5789565117,-132186.5789565117
4100,2322,132527.61300455788,-130205.61300455788
1757,756,132555.11680322958,-131799.11680322958
97,983,132556.47980903738,-131573.47980903738
4558,2054,132570.74747019086,-130516.74747019086
3436,1639,132630.38104854393,-130991.38104854393
3147,6430,132653.4194194229,-126223.41941942289
4102,443,132655.42909151845,-132212.42909151845
4273,614,132656.6566409045,-132042.6566409045
2774,1681,132661.4026340252,-130980.4026340252
1439,598,132670.30429677246,-132072.30429677246
6112,213,132682.91686769668,-132469.91686769668
5892,780,132710.0792170127,-131930.0792170127
338,989,132714.78047829642,-131725.78047829642
5309,2269,132736.96114739386,-130467.96114739386
2831,1579,132743.3654846369,-131164.3654846369
552,2863,132749.79027080527,-129886.79027080527
2034,2863,132753.94081295445,-129890.94081295445
3415,628,132769.79563367894,-132141.79563367894
717,1050,132782.5278412024,-131732.5278412024
608,2526,132796.13275654273,-130270.13275654273
2179,900,132809.20195118443,-131909.20195118443
851,3400,132836.32703952922,-129436.32703952922
1837,1386,132878.07626730594,-131492.07626730594
2598,1350,132879.71739675815,-131529.71739675815
3148,650,132886.86193314355,-132236.86193314355
3520,1000,132894.98435959255,-131894.98435959255
5685,2609,132957.11433312844,-130348.11433312844
5643,1028,132975.8640548166,-131947.8640548166
5733,1500,132978.0803970169,-131478.0803970169
3128,1031,132991.9447096141,-131960.9447096141
5526,251,133015.17288366408,-132764.17288366408
2884,320,133022.92199605834,-132702.92199605834
3948,634,133056.53920576954,-132422.53920576954
6240,1417,133058.84021813853,-131641.84021813853
542,356,133061.84767709783,-132705.84767709783
1953,300,133092.25303993863,-132792.25303993863
3414,400,133097.44721360854,-132697.44721360854
476,396,133118.8437729748,-132722.8437729748
4561,799,133207.6122272116,-132408.6122272116
3348,475,133211.98455898635,-132736.98455898635
5085,1399,133236.31018316196,-131837.31018316196
3397,399,133274.99433994977,-132875.99433994977
5252,900,133281.17666114238,-132381.17666114238
2986,2241,133301.33129487763,-131060.33129487763
3641,860,133305.52108998215,-132445.52108998215
1461,2450,133317.4133156104,-130867.4133156104
5818,668,133330.96581902067,-132662.96581902067
1091,915,133334.3579663102,-132419.3579663102
1474,4227,133334.5836634436,-129107.5836634436
3542,1193,133343.5680449511,-132150.5680449511
991,1000,133346.32860245908,-132346.32860245908
240,980,133361.79469842374,-132381.79469842374
887,970,133368.7416952489,-132398.7416952489
1602,2500,133371.71692257668,-130871.71692257668
3500,800,133373.20990237183,-132573.20990237183
6079,1101,133376.1843911042,-132275.1843911042
3609,745,133431.74160745513,-132686.74160745513
1324,1306,133433.59943200968,-132127.59943200968
3346,990,133453.8434025216,-132463.8434025216
2741,2469,133455.0290171749,-130986.02901717491
4579,408,133463.3244029351,-133055.3244029351
4606,400,133473.0956503387,-133073.0956503387
4469,450,133475.55359427098,-133025.55359427098
4698,350,133479.94568712421,-133129.94568712421
4474,1080,133486.52918427574,-132406.52918427574
1679,1564,133489.48987546063,-131925.48987546063
5886,649,133527.3938171232,-132878.3938171232
2258,1402,133571.01056608808,-132169.01056608808
1896,500,133575.63178681803,-133075.63178681803
89,300,133589.99761948903,-133289.99761948903
3836,1920,133590.41216075644,-131670.41216075644
3018,1629,133608.7617460238,-131979.7617460238
6028,1719,133611.42931521137,-131892.42931521137
665,280,133614.073691856,-133334.073691856
3378,2530,133647.97840508277,-131117.97840508277
3682,1500,133661.387157542,-132161.387157542
5489,2081,133661.6912709492,-131580.6912709492
5410,1100,133686.55254924274,-132586.55254924274
6061,1707,133696.4990040907,-131989.4990040907
5738,270,133717.4187886617,-133447.4187886617
810,650,133726.32372479426,-133076.32372479426
3123,900,133747.43228542764,-132847.43228542764
1622,1600,133797.06029949643,-132197.06029949643
3945,3629,133814.60171643892,-130185.60171643892
