,neighbourhood_Azcapotzalco,neighbourhood_Benito Juárez,neighbourhood_Coyoacán,neighbourhood_Cuajimalpa de Morelos,neighbourhood_Cuauhtémoc,neighbourhood_Gustavo A. Madero,neighbourhood_Iztacalco,neighbourhood_Iztapalapa,neighbourhood_Miguel Hidalgo,neighbourhood_Milpa Alta,neighbourhood_Tlalpan,neighbourhood_Tláhuac,neighbourhood_Venustiano Carranza,neighbourhood_Xochimilco,neighbourhood_Álvaro Obregón,latitude,longitude,accommodates,bathrooms,beds,price,availability_365,number_of_reviews
124,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.3461,-99.15911,6,2.5,2,1967,202,74
125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43621,-99.13874,7,3.5,6,3619,108,25
126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.38777,-99.17532,6,3.0,4,2037,78,230
127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.4191,-99.15904,2,1.5,1,1443,147,159
128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43651,-99.13905,6,2.5,5,5695,117,2
129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41578,-99.17425,4,1.0,2,1257,266,111
130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41416,-99.1568,4,1.0,2,1050,193,39
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.34406,-99.19413,6,4.0,4,5943,215,23
132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.34034,-99.18345,1,1.5,1,305,348,55
133,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41887,-99.17333,4,1.0,3,3053,165,275
134,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43339,-99.15467,5,1.5,3,1613,359,275
135,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.44289207458496,-99.20138549804688,2,1.0,1,796,0,57
136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.40592,-99.1691,1,1.0,1,832,364,30
137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.45595,-99.15944,1,1.0,1,300,362,28
139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.38212,-99.15361,4,2.0,2,1650,358,40
140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41269,-99.15512,2,1.0,1,600,268,16
141,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43374,-99.14616,4,2.0,2,1512,259,93
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.34948,-99.19381,6,2.5,3,5000,298,5
143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.35445,-99.16251,2,1.0,1,1200,323,152
144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.30523,-99.18356,1,1.0,1,450,362,44
145,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.36905,-99.29672,4,3.0,2,1190,176,7
146,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.33739,-99.12417,2,2.0,2,826,364,1
147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.36809,-99.17821,3,2.0,2,1129,364,28
148,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.36613,-99.17831,3,1.0,1,450,364,10
149,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41689,-99.17792,2,1.0,2,1191,303,262
150,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.436834,-99.207855,2,1.5,1,679,170,23
151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.417,-99.15975,1,1.0,1,475,363,2
152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.35263,-99.16245,1,1.0,1,653,269,15
153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42054,-99.17074,4,1.0,2,1050,353,275
154,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.35164,-99.15289,6,3.5,3,4160,173,6
155,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41317,-99.15735,2,1.5,2,700,74,144
156,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.40924,-99.16619,2,1.0,1,3395,0,0
157,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.29966,-99.15624,1,2.0,1,6430,365,1
158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.42887,-99.17651,2,1.0,1,699,340,223
159,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39129,-99.1888,2,1.0,1,357,299,17
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.35058,-99.19749,2,1.5,1,575,365,14
161,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.40915,-99.17321,3,1.0,1,900,269,48
162,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.4336,-99.13224,4,2.0,2,1002,354,14
163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42801,-99.16467,4,1.0,2,1489,81,157
164,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42911,-99.16582,2,1.0,1,2122,269,1
165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42589,-99.16634,5,1.5,4,1396,281,275
166,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.308,-99.16682,1,1.0,1,430,180,18
167,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41232,-99.16073,2,1.0,1,713,38,193
168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.43514,-99.18361,2,1.0,1,917,320,30
169,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.43179,-99.19426,2,1.5,1,3043,312,137
170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43211,-99.16912,2,1.0,1,376,357,275
171,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39165,-99.18885,2,1.0,1,357,299,26
172,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.39969,-99.17173,2,1.0,1,500,364,2
173,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.30729,-99.16962,1,1.0,1,430,365,25
174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.4171,-99.1725,4,1.0,2,1464,136,226
175,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.43293,-99.21078,2,1.0,1,750,355,35
176,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43432,-99.14581,3,1.0,1,1088,144,20
177,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43794,-99.13644,4,1.0,2,1681,365,24
178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39829,-99.13817,2,1.0,1,800,76,36
179,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.40288,-99.17884,2,2.0,1,534,358,2
180,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43315,-99.163,4,2.0,2,1705,87,1
181,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.44324,-99.14649,14,4.0,6,2377,295,160
182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.38015,-99.17402,2,1.0,1,980,165,127
183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.36229,-99.17355,2,2.0,1,849,302,21
184,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41059,-99.17501,2,1.0,2,1100,359,152
185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.31669,-99.16917,1,1.0,2,220,362,49
186,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.41239,-99.18398,3,2.0,1,700,365,26
187,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39507,-99.15226,1,1.0,1,350,0,0
188,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.35418,-99.16338,2,1.0,1,1200,334,66
189,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41701,-99.1658,2,1.0,1,1691,95,275
190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.36926,-99.1804,1,1.0,1,350,364,33
191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42029,-99.17323,4,2.0,2,1220,313,104
192,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42012,-99.17086,3,1.0,2,1274,351,242
193,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.43215,-99.18851,4,1.0,2,2114,79,275
194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.42594,-99.22524,4,2.0,2,1284,297,32
195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.4128,-99.15512,1,1.0,2,577,355,17
196,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.36898,-99.29595,2,1.0,1,880,0,1
197,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.44358,-99.21206,2,1.0,1,2806,173,0
198,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41888,-99.16587,3,2.0,2,2122,352,55
199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41356,-99.17586,2,1.0,1,1188,270,127
200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41441,-99.16323,5,1.0,2,1979,272,275
201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42018,-99.15945,2,1.0,1,2629,340,275
202,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.4218,-99.16474,2,2.0,2,2068,300,179
203,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.29005,-99.13694,1,2.5,1,287,365,0
204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37762,-99.15932,1,1.0,1,790,65,76
205,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.43121,-99.18889,2,1.5,1,1562,358,36
206,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.4202,-99.16906,8,2.5,6,6430,83,165
207,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42751,-99.14041,2,1.0,2,575,114,275
208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.34347,-99.16108,3,1.0,2,1189,356,32
209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39561,-99.15013,1,1.5,1,250,362,3
210,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.3439,-99.16784,1,1.0,1,509,238,25
211,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.34706,-99.16568,2,1.0,1,900,350,67
212,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39388656616211,-99.1675033569336,4,1.0,2,1250,365,14
213,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.42404,-99.2254,2,1.0,1,986,286,57
214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.35984,-99.27943,5,2.0,3,2998,365,121
215,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.33753,-99.15454,2,1.0,1,636,356,42
216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41397,-99.17491,2,1.0,1,400,312,17
217,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.4141,-99.17348,4,3.5,3,2869,179,94
218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.41633,-99.18026,1,1.0,2,580,313,10
219,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.429306803681683,-99.17983647089552,4,2.0,3,1400,259,0
220,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.32618,-99.12908,1,1.0,1,800,365,1
221,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42044,-99.16682,3,1.0,2,1260,299,275
222,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.45349,-99.18398,3,1.5,2,1349,173,11
223,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.40573,-99.1709,6,3.0,3,3637,101,225
224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43341,-99.15124,6,1.0,2,962,333,36
225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.35528516433786,-99.16574358940125,3,1.0,1,2965,287,0
226,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.44551,-99.15605,2,1.0,1,868,168,66
227,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37496,-99.17334,1,1.0,1,359,162,54
228,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.41833,-99.11802,2,1.0,1,923,86,124
229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42793,-99.15546,1,1.0,0,650,0,0
230,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.34869107895099,-99.15984130022896,3,1.5,2,543,343,80
231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.428986,-99.134689,3,1.0,1,879,308,275
232,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.428986,-99.134689,4,1.0,3,1373,338,259
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.33706,-99.24369,2,1.0,2,678,270,3
234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39664,-99.17516,2,1.0,1,893,56,117
235,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42876,-99.13445,2,1.0,1,1257,320,275
